"Category";"locus_tag"
"Alanine, aspartate and glutamate metabolism";"b3729"
"Alanine, aspartate and glutamate metabolism";"b3744"
"Alanine, aspartate and glutamate metabolism";"b3870"
"Alanine, aspartate and glutamate metabolism";"b3960"
"Alanine, aspartate and glutamate metabolism";"b4139"
"Alanine, aspartate and glutamate metabolism";"b4177"
"Alanine, aspartate and glutamate metabolism";"b4244"
"Alanine, aspartate and glutamate metabolism";"b4245"
"Glycine, serine and threonine metabolism";"b0002"
"Glycine, serine and threonine metabolism";"b0003"
"Glycine, serine and threonine metabolism";"b0004"
"Glycine, serine and threonine metabolism";"b0116"
"Glycine, serine and threonine metabolism";"b0311"
"Glycine, serine and threonine metabolism";"b0312"
"Glycine, serine and threonine metabolism";"b0514"
"Glycine, serine and threonine metabolism";"b0755"
"Glycine, serine and threonine metabolism";"b0870"
"Glycine, serine and threonine metabolism";"b0907"
"Glycine, serine and threonine metabolism";"b1033"
"Glycine, serine and threonine metabolism";"b1260"
"Glycine, serine and threonine metabolism";"b1261"
"Glycine, serine and threonine metabolism";"b1386"
"Glycine, serine and threonine metabolism";"b1539"
"Glycine, serine and threonine metabolism";"b1814"
"Glycine, serine and threonine metabolism";"b2366"
"Glycine, serine and threonine metabolism";"b2551"
"Glycine, serine and threonine metabolism";"b2585"
"Glycine, serine and threonine metabolism";"b2797"
"Glycine, serine and threonine metabolism";"b2840"
"Glycine, serine and threonine metabolism";"b2903"
"Glycine, serine and threonine metabolism";"b2904"
"Glycine, serine and threonine metabolism";"b2905"
"Glycine, serine and threonine metabolism";"b2913"
"Glycine, serine and threonine metabolism";"b3117"
"Glycine, serine and threonine metabolism";"b3124"
"Glycine, serine and threonine metabolism";"b3433"
"Glycine, serine and threonine metabolism";"b3553"
"Glycine, serine and threonine metabolism";"b3612"
"Glycine, serine and threonine metabolism";"b3616"
"Glycine, serine and threonine metabolism";"b3617"
"Glycine, serine and threonine metabolism";"b3772"
"Glycine, serine and threonine metabolism";"b3940"
"Glycine, serine and threonine metabolism";"b4024"
"Glycine, serine and threonine metabolism";"b4388"
"Glycine, serine and threonine metabolism";"b4395"
"Glycine, serine and threonine metabolism";"b4471"
"Monobactam biosynthesis";"b0002"
"Monobactam biosynthesis";"b0031"
"Monobactam biosynthesis";"b2478"
"Monobactam biosynthesis";"b2751"
"Monobactam biosynthesis";"b2752"
"Monobactam biosynthesis";"b3433"
"Monobactam biosynthesis";"b3940"
"Monobactam biosynthesis";"b4024"
"Cysteine and methionine metabolism";"b0002"
"Cysteine and methionine metabolism";"b0120"
"Cysteine and methionine metabolism";"b0121"
"Cysteine and methionine metabolism";"b0159"
"Cysteine and methionine metabolism";"b0261"
"Cysteine and methionine metabolism";"b0907"
"Cysteine and methionine metabolism";"b0928"
"Cysteine and methionine metabolism";"b1622"
"Cysteine and methionine metabolism";"b1814"
"Cysteine and methionine metabolism";"b1832"
"Cysteine and methionine metabolism";"b1919"
"Cysteine and methionine metabolism";"b1961"
"Cysteine and methionine metabolism";"b2414"
"Cysteine and methionine metabolism";"b2421"
"Cysteine and methionine metabolism";"b2521"
"Cysteine and methionine metabolism";"b2593"
"Cysteine and methionine metabolism";"b2687"
"Cysteine and methionine metabolism";"b2688"
"Cysteine and methionine metabolism";"b2797"
"Cysteine and methionine metabolism";"b2840"
"Cysteine and methionine metabolism";"b2913"
"Cysteine and methionine metabolism";"b2942"
"Cysteine and methionine metabolism";"b2947"
"Cysteine and methionine metabolism";"b3008"
"Cysteine and methionine metabolism";"b3236"
"Cysteine and methionine metabolism";"b3433"
"Cysteine and methionine metabolism";"b3607"
"Cysteine and methionine metabolism";"b3770"
"Cysteine and methionine metabolism";"b3829"
"Cysteine and methionine metabolism";"b3939"
"Cysteine and methionine metabolism";"b3940"
"Cysteine and methionine metabolism";"b4013"
"Cysteine and methionine metabolism";"b4019"
"Cysteine and methionine metabolism";"b4024"
"Cysteine and methionine metabolism";"b4054"
"Cysteine and methionine metabolism";"b4471"
"Valine, leucine and isoleucine degradation";"b0116"
"Valine, leucine and isoleucine degradation";"b1393"
"Valine, leucine and isoleucine degradation";"b2224"
"Valine, leucine and isoleucine degradation";"b2341"
"Valine, leucine and isoleucine degradation";"b2342"
"Valine, leucine and isoleucine degradation";"b2662"
"Valine, leucine and isoleucine degradation";"b2844"
"Valine, leucine and isoleucine degradation";"b2917"
"Valine, leucine and isoleucine degradation";"b3770"
"Valine, leucine and isoleucine degradation";"b3845"
"Valine, leucine and isoleucine degradation";"b3846"
"Geraniol degradation";"b1393"
"Geraniol degradation";"b2341"
"Geraniol degradation";"b2342"
"Geraniol degradation";"b3845"
"Geraniol degradation";"b3846"
"Geraniol degradation";"b4269"
"Valine, leucine and isoleucine biosynthesis";"b0071"
"Valine, leucine and isoleucine biosynthesis";"b0072"
"Valine, leucine and isoleucine biosynthesis";"b0073"
"Valine, leucine and isoleucine biosynthesis";"b0074"
"Valine, leucine and isoleucine biosynthesis";"b0077"
"Valine, leucine and isoleucine biosynthesis";"b0078"
"Valine, leucine and isoleucine biosynthesis";"b2290"
"Valine, leucine and isoleucine biosynthesis";"b3117"
"Valine, leucine and isoleucine biosynthesis";"b3572"
"Valine, leucine and isoleucine biosynthesis";"b3670"
"Valine, leucine and isoleucine biosynthesis";"b3671"
"Valine, leucine and isoleucine biosynthesis";"b3769"
"Valine, leucine and isoleucine biosynthesis";"b3770"
"Valine, leucine and isoleucine biosynthesis";"b3771"
"Valine, leucine and isoleucine biosynthesis";"b3772"
"Valine, leucine and isoleucine biosynthesis";"b3774"
"Lysine biosynthesis";"b0002"
"Lysine biosynthesis";"b0031"
"Lysine biosynthesis";"b0085"
"Lysine biosynthesis";"b0086"
"Lysine biosynthesis";"b0166"
"Lysine biosynthesis";"b2472"
"Lysine biosynthesis";"b2478"
"Lysine biosynthesis";"b2838"
"Lysine biosynthesis";"b3359"
"Lysine biosynthesis";"b3433"
"Lysine biosynthesis";"b3809"
"Lysine biosynthesis";"b3940"
"Lysine biosynthesis";"b4024"
"Lysine degradation";"b0116"
"Lysine degradation";"b0186"
"Lysine degradation";"b0727"
"Lysine degradation";"b1393"
"Lysine degradation";"b1423"
"Lysine degradation";"b1444"
"Lysine degradation";"b1687"
"Lysine degradation";"b2221"
"Lysine degradation";"b2222"
